icao_hex,registration,type,description,country,category,role,source
AE57B7,168851,P8,Boeing P-8A Poseidon,United States,military,US Navy maritime patrol,tar1090-db flag=10
AE57B8,168852,P8,Boeing P-8A Poseidon,United States,military,US Navy maritime patrol,tar1090-db flag=10
AE57B9,168853,P8,Boeing P-8A Poseidon,United States,military,US Navy maritime patrol,tar1090-db flag=10
AE57BA,168854,P8,Boeing P-8A Poseidon,United States,military,US Navy maritime patrol,tar1090-db flag=10
AE57BB,168855,P8,Boeing P-8A Poseidon,United States,military,US Navy maritime patrol,tar1090-db flag=10
AE57BC,168856,P8,Boeing P-8A Poseidon,United States,military,US Navy maritime patrol,tar1090-db flag=10
AE57BD,168857,P8,Boeing P-8A Poseidon,United States,military,US Navy maritime patrol,tar1090-db flag=10
AE57BE,168858,P8,Boeing P-8A Poseidon,United States,military,US Navy maritime patrol,tar1090-db flag=10
AE57BF,168859,P8,Boeing P-8A Poseidon,United States,military,US Navy maritime patrol,tar1090-db flag=10
AE57C0,168860,P8,Boeing P-8A Poseidon,United States,military,US Navy maritime patrol,tar1090-db flag=10
AE57C1,168996,P8,Boeing P-8A Poseidon,United States,military,US Navy maritime patrol,tar1090-db flag=10
AE57C2,168997,P8,Boeing P-8A Poseidon,United States,military,US Navy maritime patrol,tar1090-db flag=10
AE57C3,168998,P8,Boeing P-8A Poseidon,United States,military,US Navy maritime patrol,tar1090-db flag=10
AE57C4,168999,P8,Boeing P-8A Poseidon,United States,military,US Navy maritime patrol,tar1090-db flag=10
AE57C5,169000,P8,Boeing P-8A Poseidon,United States,military,US Navy maritime patrol,tar1090-db flag=10
AE57C6,169001,P8,Boeing P-8A Poseidon,United States,military,US Navy maritime patrol,tar1090-db flag=10
AE57C7,169002,P8,Boeing P-8A Poseidon,United States,military,US Navy maritime patrol,tar1090-db flag=10
AE57C8,169003,P8,Boeing P-8A Poseidon,United States,military,US Navy maritime patrol,tar1090-db flag=10
AE57C9,169004,P8,,United States,military,US Navy maritime patrol,tar1090-db flag=10
AE57CA,169005,P8,Boeing P-8A Poseidon,United States,military,US Navy maritime patrol,tar1090-db flag=10
